GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.filter,RequestIdFilter,3,27,3,1,0,10,2,2,0,2
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.error,GlobalExceptionHandler,55,57,0,0,11,12,5,7,5,7
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.error,ApiError,0,59,0,0,0,9,0,9,0,9
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.error,ApiError.FieldViolation,0,15,0,0,0,2,0,3,0,3
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.storage,MinioProperties,28,30,4,0,6,3,8,3,6,3
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.storage,MinioStorageAdapter,168,0,4,0,43,0,11,0,9,0
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.storage,StoragePort.ObjectStat,0,15,0,0,0,2,0,3,0,3
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.storage,MinioConfig,27,0,0,0,10,0,3,0,3,0
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.domain.model,DocumentStatus,0,24,0,0,0,3,0,1,0,1
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.domain.repo,DocumentSpecifications,55,23,10,6,8,9,11,5,4,4
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.dto,DocumentDto,45,0,0,0,8,0,8,0,8,0
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.dto,UploadDocumentRequest,0,21,0,0,0,4,0,4,0,4
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.dto,UploadCompleteResponse,0,27,0,0,0,2,0,5,0,5
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.dto,UploadDocumentResponse,0,21,0,0,0,2,0,4,0,4
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.dto,DocumentDownloadUrl,0,9,0,0,0,2,0,2,0,2
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.dto,DocumentSearchFilters,0,21,0,0,0,2,0,4,0,4
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.dto,MetadataDto,0,33,0,0,0,2,0,6,0,6
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api.dto,PaginatedDocumentSearch,0,15,0,0,0,2,0,3,0,3
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge,DocumentManagementServiceChallengeApplication,5,3,0,0,2,1,1,1,1,1
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.domain.service,DocumentService,7,254,1,7,0,58,1,10,0,7
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.api,DocumentController,0,29,0,0,0,5,0,4,0,4
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.common.exception,StorageException,5,0,0,0,2,0,1,0,1,0
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.common.exception,UploadNotReadyException,0,6,0,0,0,2,0,1,0,1
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.common.exception,DocumentNotFoundException,0,6,0,0,0,2,0,1,0,1
document-management-service-challenge,com.clara.ops.challenge.document_management_service_challenge.common.mapper,DocumentMapper,21,27,0,0,8,9,1,1,1,1
